scientific_name,ebird_code,common_name,alpha
Acrocephalus paludicola,aquwar1,Aquatic Warbler,
Acrocephalus palustris,marwar3,Marsh Warbler,
Acrocephalus percernis,marrew2,Northern Marquesan Reed Warbler,
Acrocephalus rehsei,narwar1,Nauru Reed Warbler,
Acrocephalus rimitarae,rimrew1,Rimatara Reed Warbler,
Acrocephalus rodericanus,rodbrw1,Rodrigues Warbler,
Acrocephalus rufescens,grswar2,Greater Swamp Warbler,
Acrocephalus schoenobaenus,sedwar1,Sedge Warbler,SEWA
Acrocephalus scirpaceus,eurwar1,Common Reed Warbler,
Acrocephalus sechellensis,sebwar1,Seychelles Warbler,
Acrocephalus stentoreus,clrwar1,Clamorous Reed Warbler,
Acrocephalus syrinx,carrew1,Caroline Reed Warbler,
Acrocephalus taiti,hirwar1,Henderson Reed Warbler,
Acrocephalus tangorum,manrew1,Manchurian Reed Warbler,
Acrocephalus vaughani,pirwar2,Pitcairn Reed Warbler,
Acrochordopus burmeisteri,roltyr3,Rough-legged Tyrannulet,
Acrochordopus zeledoni,roltyr1,White-fronted Tyrannulet,WFTY
Acrodectes philopagus,,,
Acrometopa cretensis,,,
Acrometopa italica,,,
Acrometopa macropoda,,,
Acrometopa servillea,,,
Acrometopa syriaca,,,
Acropternis orthonyx,ocetap1,Ocellated Tapaculo,
Acryllium vulturinum,vulgui1,Vulturine Guineafowl,
Actenoides bougainvillei,moukin2,Moustached Kingfisher,
Actenoides concretus,ruckin1,Rufous-collared Kingfisher,
Actenoides hombroni,blckin2,Blue-capped Kingfisher,
Actenoides lindsayi,spokin1,Spotted Wood Kingfisher,
Actenoides monachus,grbkin1,Green-backed Kingfisher,
Actenoides princeps,scakin1,Scaly-breasted Kingfisher,
Actinodura cyanouroptera,blwmin1,Blue-winged Minla,
Actinodura egertoni,rufbar1,Rusty-fronted Barwing,
Actinodura morrisoniana,taibar1,Taiwan Barwing,
Actinodura nipalensis,hotbar1,Hoary-throated Barwing,
Actinodura ramsayi,spebar1,Spectacled Barwing,
Actinodura sodangorum,bkcbar1,Black-crowned Barwing,
Actinodura souliei,strbar1,Streaked Barwing,
Actinodura strigula,chtmin1,Bar-throated Minla,
Actinodura waldeni,sttbar1,Streak-throated Barwing,
Actitis hypoleucos,comsan,Common Sandpiper,COSA
Actitis macularius,sposan,Spotted Sandpiper,SPSA
Actophilornis africanus,afrjac1,African Jacana,
Actophilornis albinucha,madjac1,Madagascar Jacana,
Addax nasomaculatus,,,
Adelomyia melanogenys,spehum1,Speckled Hummingbird,
Adelophryne amapaensis,,,
Adelophryne baturitensis,,,
Adelotus brevis,,,
Adelpha californica,,,
Adelphobates quinquevittatus,,,
Adenomera andreae,,,
Adenomera araucaria,,,
Adenomera bokermanni,,,
Adenomera diptyx,,,
Adenomera heyeri,,,
Adenomera hylaedactyla,,,
Adenomera marmorata,,,
Adenomera nana,,,
Adenomera saci,,,
Aechmophorus clarkii,clagre,Clark's Grebe,CLGR
Aechmophorus occidentalis,wesgre,Western Grebe,WEGR
Aegithalos caudatus,lottit1,Long-tailed Tit,
Aegithalos concinnus,blttit2,Black-throated Bushtit,
Aegithalos exilis,pygtit1,Pygmy Bushtit,
Aegithalos fuliginosus,sootit1,Sooty Bushtit,
Aegithalos glaucogularis,lottit5,Silver-throated Bushtit,
Aegithalos iouschistos,bkbtit3,Black-browed Bushtit,
Aegithalos leucogenys,whctit1,White-cheeked Bushtit,
Aegithalos niveogularis,whttit1,White-throated Bushtit,
Aegithina lafresnayei,greior1,Great Iora,
Aegithina nigrolutea,whtior1,Marshall's Iora,
Aegithina tiphia,comior1,Common Iora,
Aegithina viridissima,greior2,Green Iora,
Aegolius acadicus,nswowl,Northern Saw-whet Owl,NSWO
Aegolius funereus,borowl,Boreal Owl,BOOW
Aegolius harrisii,bufowl1,Buff-fronted Owl,
Aegolius ridgwayi,uswowl1,Unspotted Saw-whet Owl,USWO
Aegotheles albertisi,moonig1,Mountain Owlet-nightjar,
Aegotheles bennettii,barown1,Barred Owlet-nightjar,
Aegotheles crinifrons,molown1,Moluccan Owlet-nightjar,
Aegotheles cristatus,auonig1,Australian Owlet-nightjar,
Aegotheles insignis,feonig1,Feline Owlet-nightjar,
Aegotheles tatei,spaown1,Starry Owlet-nightjar,
Aegotheles wallacii,waonig1,Wallace's Owlet-nightjar,
Aegypius monachus,cinvul1,Cinereous Vulture,
Aenigmatolimnas marginalis,strcra1,Striped Crake,
Aepyceros melampus,,,
Aepypodius arfakianus,watbrt1,Wattled Brushturkey,
Aerodramus amelis,palswi2,Ameline Swiftlet,
Aerodramus brevirostris,himswi2,Himalayan Swiftlet,
Aerodramus elaphrus,seyswi1,Seychelles Swiftlet,
Aerodramus francicus,masswi1,Mascarene Swiftlet,
Aerodramus fuciphagus,y00731,Edible-nest Swiftlet,
Aerodramus hirundinaceus,mouswi2,Mountain Swiftlet,
Aerodramus infuscatus,molswi5,Moluccan Swiftlet,
Aerodramus inquietus,caiswi1,Caroline Swiftlet,
Aerodramus leucophaeus,polswi1,Polynesian Swiftlet,
Aerodramus maximus,blnswi1,Black-nest Swiftlet,
Aerodramus mearnsi,phiswi1,Philippine Swiftlet,
Aerodramus ocistus,,,
Aerodramus pelewensis,palswi1,Palau Swiftlet,
Aerodramus salangana,monswi2,Mossy-nest Swiftlet,
Aerodramus sawtelli,atiswi1,Atiu Swiftlet,
Aerodramus spodiopygius,whrswi2,White-rumped Swiftlet,
Aerodramus terraereginae,ausswi1,Australian Swiftlet,
Aerodramus unicolor,indswi1,Indian Swiftlet,
Aerodramus vanikorensis,uniswi1,Uniform Swiftlet,
Aeronautes andecolus,andswi1,Andean Swift,
Aeronautes montivagus,whtswi1,White-tipped Swift,
Aeronautes saxatalis,whtswi,White-throated Swift,WTSW
Aeropedellus clavatus,,,
Aeropedellus variegatus,,,
Aerospiza castanilius,chfspa1,Chestnut-flanked Sparrowhawk,
Aerospiza tachiro,afrgos1,African Goshawk,
Aeshna umbrosa,,,
Aethia cristatella,creauk,Crested Auklet,CRAU
Aethia psittacula,parauk,Parakeet Auklet,PAAU
Aethia pusilla,leaauk,Least Auklet,LEAU
Aethia pygmaea,whiauk,Whiskered Auklet,WHAU
Aethomyias arfakianus,gygscr1,Grey-green Scrubwren,
Aethomyias nigrorufus,bimwar1,Bicolored Scrubwren,
Aethomyias papuensis,papscr1,Papuan Scrubwren,
Aethomyias perspicillatus,bufscr1,Buff-faced Scrubwren,
Aethomyias rufescens,vogscr1,Vogelkop Scrubwren,
Aethomyias spilodera,pabscr1,Pale-billed Scrubwren,
Aethopyga bella,hansun1,Handsome Sunbird,
Aethopyga boltoni,moasun1,Apo Sunbird,
Aethopyga christinae,fotsun1,Fork-tailed Sunbird,
Aethopyga duyvenbodei,elesun1,Elegant Sunbird,
Aethopyga flagrans,flasun1,Flaming Sunbird,
Aethopyga gouldiae,gousun1,Mrs. Gould's Sunbird,
Aethopyga guimarasensis,mansun1,Maroon-naped Sunbird,
Aethopyga ignicauda,fitsun1,Fire-tailed Sunbird,
Aethopyga linaraborae,linsun1,Lina's Sunbird,
Aethopyga magnifica,magsun1,Magnificent Sunbird,
Aethopyga mystacalis,scasun1,Javan Sunbird,
Aethopyga nipalensis,grtsun1,Green-tailed Sunbird,
Aethopyga primigenia,gyhsun2,Grey-hooded Sunbird,
Aethopyga pulcherrima,mewsun3,Metallic-winged Sunbird,
Aethopyga saturata,bltsun1,Black-throated Sunbird,
Aethopyga shelleyi,lovsun1,Lovely Sunbird,
Aethopyga siparaja,eacsun1,Crimson Sunbird,
Aethopyga temminckii,temsun1,Temminck's Sunbird,
Aethopyga vigorsii,wecsun1,Vigors's Sunbird,
Afrixalus aureus,,,
Afrixalus brachycnemis,,,
Afrixalus clarkei,,,
Afrixalus crotalus,,,
Afrixalus delicatus,,,
Afrixalus dorsalis,,,
Afrixalus fornasini,,,
Afrixalus fulvovittatus,,,
Afrixalus knysnae,,,
Afrixalus morerei,,,
Afrixalus osorioi,,,
Afrixalus quadrivittatus,,,
Afrixalus spinifrons,,,
Afrixalus stuhlmanni,,,
Afrixalus sylvaticus,,,
Afrixalus wittei,,,
Afromelampsalta leucoptera,,,
Afropavo congensis,conpea1,Congo Peafowl,
Afrotis afra,blabus3,Southern Black Korhaan,
Afrotis afraoides,whqbus1,Northern Black Korhaan,
Agalychnis annae,,,
Agalychnis callidryas,,,
Agalychnis dacnicolor,,,
Agalychnis moreletii,,,
Agalychnis taylori,,,
Agamia agami,agaher1,Agami Heron,AGHE
Agapanthia dahlii,,,
Agapanthia villosoviridescens,,,
Agapanthia violacea,,,
Agapornis canus,gyhlov1,Grey-headed Lovebird,
Agapornis fischeri,fislov1,Fischer's Lovebird,
Agapornis lilianae,lillov1,Lilian's Lovebird,
Agapornis nigrigenis,blclov1,Black-cheeked Lovebird,
Agapornis personatus,yeclov,Yellow-collared Lovebird,
Agapornis pullarius,rehlov1,Red-headed Lovebird,
Agapornis roseicollis,peflov,Rosy-faced Lovebird,RFLO
Agapornis swindernianus,blclov2,Black-collared Lovebird,
Agapornis taranta,blwlov1,Black-winged Lovebird,
Agelaioides badius,bawcow4,Greyish Baywing,
Agelaioides fringillarius,bawcow3,Pale Baywing,
Agelaius assimilis,resbla1,Red-shouldered Blackbird,RSBL
Agelaius humeralis,tasbla,Tawny-shouldered Blackbird,TSBL
Agelaius phoeniceus,rewbla,Red-winged Blackbird,RWBL
Agelaius tricolor,tribla,Tricolored Blackbird,TRBL
Agelaius xanthomus,yesbla1,Yellow-shouldered Blackbird,YSBL
Agelastes meleagrides,whbgui1,White-breasted Guineafowl,
Agelastes niger,blagui1,Black Guineafowl,
Agelasticus cyanopus,unibla2,Unicolored Blackbird,
Agelasticus thilius,yewbla2,Yellow-winged Blackbird,
Agelasticus xanthophthalmus,paebla2,Pale-eyed Blackbird,
Ageneotettix deorum,,,
Aglaeactis aliciae,pubsun1,Purple-backed Sunbeam,
Aglaeactis castelnaudii,whtsun1,White-tufted Sunbeam,
Aglaeactis cupripennis,shisun1,Shining Sunbeam,
Aglaeactis pamela,blhsun1,Black-hooded Sunbeam,
Aglaiocercus berlepschi,vensyl1,Venezuelan Sylph,
Aglaiocercus coelestis,vitsyl1,Violet-tailed Sylph,
Aglaiocercus kingii,lotsyl1,Long-tailed Sylph,
Aglaothorax diminutiva,,,
Aglaothorax gurneyi,,,
Aglaothorax morsei,,,
Aglaothorax ovatus,,,
Agraecia agraecioides,,,
Agraphospiza rubescens,blaros1,Blanford's Rosefinch,
Agricola infuscatus,chafly2,Chat Flycatcher,
Agricola pallidus,palfly2,Pale Flycatcher,
Agriornis albicauda,wtstyr1,White-tailed Shrike-Tyrant,
Agriornis lividus,gresht1,Great Shrike-Tyrant,
Agriornis micropterus,gybsht1,Grey-bellied Shrike-Tyrant,
Agriornis montanus,bkbsht1,Black-billed Shrike-Tyrant,
Agriornis murinus,lessht1,Lesser Shrike-Tyrant,
Agriotes lineatus,,,
Agropsar philippensis,chcsta1,Chestnut-cheeked Starling,
Agropsar sturninus,dausta1,Daurian Starling,
Ailuroedus arfakianus,,,
Ailuroedus astigmaticus,,,
Ailuroedus buccoides,whecat1,White-eared Catbird,
Ailuroedus crassirostris,grecat1,Green Catbird,
Ailuroedus geislerorum,taccat1,Tan-capped Catbird,
Ailuroedus jobiensis,,,
Ailuroedus maculosus,spocat2,Spotted Catbird,
Ailuroedus melanocephalus,,,
Ailuroedus melanotis,spocat1,Black-eared Catbird,
Ailuroedus stonii,ocbcat1,Ochre-breasted Catbird,
Ailuropoda melanoleuca,,,
Ailurus fulgens,,,
Aimophila notosticta,oaxspa1,Oaxaca Sparrow,OASP
Aimophila rufescens,russpa1,Rusty Sparrow,RUSP
Aimophila ruficeps,rucspa,Rufous-crowned Sparrow,RCSP
Aiolopus strepens,,,
Aircraft,,,
Aix galericulata,manduc,Mandarin Duck,
Aix sponsa,wooduc,Wood Duck,WODU
Ajorama balatukanis,,,
Akletos goeldii,goeant1,Goeldi's Antbird,
Akletos melanoceps,whsant1,White-shouldered Antbird,
Alaemon alaudipes,grhlar1,Greater Hoopoe-Lark,
Alaemon hamertoni,lehlar1,Lesser Hoopoe-Lark,
Alarm,,,
Alauda arvensis,skylar,Eurasian Skylark,EUSK
Alauda gulgula,orisky1,Oriental Skylark,
Alauda leucoptera,whwlar1,White-winged Lark,
Alauda razae,razsky1,Raso Lark,
Alaudala cheleensis,lstlar2,Asian Short-toed Lark,
Alaudala heinei,tstlar1,Turkestan Short-toed Lark,
Alaudala raytal,sanlar1,Sand Lark,
Alaudala rufescens,mstlar1,Mediterranean Short-toed Lark,
Alaudala somalica,sstlar1,Somali Short-toed Lark,
Albarracinia zapaterii,,,
Alburnus alburnus,,,
Alca torda,razorb,Razorbill,RAZO
Alcedo atthis,comkin1,Common Kingfisher,
Alcedo coerulescens,smbkin1,Cerulean Kingfisher,
Alcedo euryzona,bubkin2,Javan Blue-banded Kingfisher,
Alcedo hercules,blykin1,Blyth's Kingfisher,
Alcedo meninting,blekin1,Blue-eared Kingfisher,
Alcedo quadribrachys,shbkin1,Shining-blue Kingfisher,
Alcedo semitorquata,hackin1,Half-collared Kingfisher,
Alces alces,,,
Alcippe brunneicauda,broful1,Brown Fulvetta,
Alcippe davidi,gycful3,David's Fulvetta,
Alcippe fratercula,gycful4,Yunnan Fulvetta,
Alcippe grotei,bkbful1,Black-browed Fulvetta,
Alcippe hueti,gycful5,Huet's Fulvetta,
Alcippe morrisonia,gycful1,Grey-cheeked Fulvetta,
Alcippe nipalensis,nepful1,Nepal Fulvetta,
Alcippe peracensis,mouful1,Mountain Fulvetta,
Alcippe poioicephala,brcful1,Brown-cheeked Fulvetta,
Alcippe pyrrhoptera,javful1,Javan Fulvetta,
Alcurus striatus,strbul2,Striated Bulbul,
Aldabrachelys gigantea,,,
Aleadryas rufinucha,runwhi1,Rufous-naped Bellbird,
Alectoris barbara,barpar2,Barbary Partridge,
Alectoris chukar,chukar,Chukar Partridge,CHUK
Alectoris graeca,rocpar2,Rock Partridge,
Alectoris magna,przpar1,Przevalski's Partridge,
Alectoris melanocephala,arapar1,Arabian Partridge,
Alectoris philbyi,phipar1,Philby's Partridge,
Alectoris rufa,relpar1,Red-legged Partridge,
Alectroenas madagascariensis,mabpig1,Madagascar Blue Pigeon,
Alectroenas pulcherrimus,sebpig1,Seychelles Blue Pigeon,
Alectroenas sganzini,cobpig1,Comoro Blue Pigeon,
Alectrurus risora,stttyr1,Strange-tailed Tyrant,
Alectrurus tricolor,cottyr1,Cock-tailed Tyrant,
Alectura lathami,ausbrt1,Australian Brushturkey,
Aleeta curvicosta,,,
Alethe castanea,ficale2,Fire-crested Alethe,
Alethe diademata,ficale3,White-tailed Alethe,
Alexandromys oeconomus,,,
Alinjarria elongata,,,
Alipiopsitta xanthops,yefpar5,Yellow-faced Parrot,
Alisterus amboinensis,mokpar1,Moluccan King Parrot,
Alisterus chloropterus,pakpar1,Papuan King Parrot,
Alisterus scapularis,aukpar1,Australian King Parrot,
Alle alle,doveki,Little Auk,DOVE
Allenia fusca,scbthr,Scaly-breasted Thrasher,SBTH
Allenopithecus nigroviridis,,,
Alligator mississippiensis,,,
Alligator sinensis,,,
Allobates femoralis,,,
Allobates granti,,,
Allobates ignotus,,,
Allobates marchesianus,,,
Allobates niputidea,,,
Allobates ripicolus,,,
Allobates talamancae,,,
Allobates zaparo,,,
Allochrocebus lhoesti,,,
Allonemobius allardi,,,
Allonemobius fasciatus,,,
Allonemobius griseus,,,
Allonemobius maculatus,,,
Allonemobius shalontaki,,,
Allonemobius socius,,,
Allonemobius tinnulus,,,
Allonemobius walkeri,,,
Allophryne resplendens,,,
Allophryne ruthveni,,,
Alloteratura lamella,,,
Aloha campylothecae,,,
Aloha swezeyi,,,
Alophoixus flaveolus,whtbul1,White-throated Bulbul,
Alophoixus frater,gytbul1,Palawan Bulbul,
Alophoixus ochraceus,ochbul2,Ochraceous Bulbul,
Alophoixus pallidus,putbul1,Puff-throated Bulbul,
Alophoixus phaeocephalus,yebbul2,Yellow-bellied Bulbul,
Alophoixus ruficrissus,ochbul3,Penan Bulbul,
Alopochelidon fucata,tahswa2,Tawny-headed Swallow,
Alopochen aegyptiaca,egygoo,Egyptian Goose,EGGO
Alouatta belzebul,,,
Alouatta caraya,,,
Alouatta guariba,,,
Alouatta macconnelli,,,
Alouatta palliata,,,
Alouatta pigra,,,
Alouatta sara,,,
Alouatta seniculus,,,
Alytes almogavarii,,,
Alytes cisternasii,,,
Alytes dickhilleni,,,
Alytes muletensis,,,
Alytes obstetricans,,,
Amadina erythrocephala,rehfin1,Red-headed Finch,
Amadina fasciata,cutthr1,Cut-throat Finch,
Amalocichla incerta,legrob1,Lesser Ground Robin,
Amalocichla sclateriana,grgrob1,Greater Ground Robin,
Amandava amandava,redava,Red Avadavat,REAV
Amandava subflava,zebwax2,Orange-breasted Waxbill,
Amaurolimnas concolor,unicra1,Uniform Crake,UNIC
Amaurornis isabellina,isabuh1,Isabelline Bush-hen,
Amaurornis magnirostris,talbuh1,Talaud Bush-hen,
Amaurornis moluccana,rutbuh1,Pale-vented Bush-hen,
Amaurornis olivacea,plabuh1,Plain Bush-hen,
Amaurornis phoenicurus,whbwat1,White-breasted Waterhen,
Amaurospiza aequatorialis,blusee4,Ecuadorian Seedeater,
Amaurospiza carrizalensis,carsee1,Carrizal Seedeater,
Amaurospiza concolor,blusee1,Blue Seedeater,BLSE
Amaurospiza moesta,blbsee3,Blackish-blue Seedeater,
Amazilia luciae,honeme1,Honduran Emerald,HOEM
Amazilia rutila,cinhum1,Cinnamon Hummingbird,CIHU
Amazilia tzacatl,rtlhum,Rufous-tailed Hummingbird,RTAH
Amazilia yucatanensis,bubhum,Buff-bellied Hummingbird,BBEH
Amazilis amazilia,amahum1,Amazilia Hummingbird,AMHU
Amazona aestiva,bufpar,Turquoise-fronted Amazon,
Amazona agilis,blbpar1,Black-billed Amazon,BBPA
Amazona albifrons,whfpar1,White-fronted Amazon,WFPA
Amazona amazonica,orwpar,Orange-winged Amazon,
Amazona arausiaca,renpar1,Red-necked Amazon,RNPA
Amazona auropalliata,yenpar1,Yellow-naped Amazon,YNPA
Amazona autumnalis,relpar,Red-lored Amazon,RLPA
Amazona barbadensis,yespar1,Yellow-shouldered Amazon,
Amazona brasiliensis,retpar1,Red-tailed Amazon,
Amazona collaria,yebpar1,Yellow-billed Amazon,YBPA
Amazona dufresniana,blcpar2,Blue-cheeked Amazon,
Amazona farinosa,meapar,Mealy Amazon,MEAP
Amazona festiva,fespar1,Festive Amazon,
Amazona finschi,licpar,Lilac-crowned Amazon,LCPA
Amazona guildingii,stvpar1,St. Vincent Amazon,SVPA
Amazona imperialis,imppar1,Imperial Amazon,IMPA
Amazona kawalli,kawpar1,Kawall's Amazon,
Amazona leucocephala,cubpar1,Cuban Amazon,CPAT
Amazona mercenarius,scnpar1,Scaly-naped Amazon,
Amazona ochrocephala,ywcpar,Yellow-crowned Amazon,YCRP
Amazona oratrix,yehpar,Yellow-headed Amazon,YHPA
Amazona pretrei,respar2,Red-spectacled Amazon,
Amazona rhodocorytha,rebpar7,Red-browed Amazon,
Amazona tucumana,tucpar1,Tucuman Amazon,
Amazona ventralis,hispar1,Hispaniolan Amazon,HPAT
Amazona versicolor,stlpar1,St. Lucia Amazon,SLPA
Amazona vinacea,vinpar1,Vinaceous-breasted Amazon,
Amazona viridigenalis,recpar,Red-crowned Amazon,RCPA
Amazona vittata,purpar1,Puerto Rican Amazon,PRPO
Amazona xantholora,yelpar1,Yucatan Amazon,YLPA
Amazonetta brasiliensis,bratea1,Brazilian Teal,
Amazophrynella minuta,,,
Ambloplites rupestris,,,
Amblycercus holosericeus,yebcac1,Yellow-billed Cacique,YBIC
Amblycorypha alexanderi,,,
Amblycorypha arenicola,,,
Amblycorypha floridana,,,
Amblycorypha huasteca,,,
Amblycorypha oblongifolia,,,
Amblycorypha parvipennis,,,
Amblycorypha rivograndis,,,
Amblycorypha rotundifolia,,,
Amblyornis inornata,vogbow2,Vogelkop Bowerbird,
Amblyornis macgregoriae,macbow2,MacGregor's Bowerbird,
Amblyornis subalaris,strbow1,Streaked Bowerbird,
Amblyospiza albifrons,growea1,Thick-billed Weaver,
Amblyramphus holosericeus,schbla1,Scarlet-headed Blackbird,
Ambystoma maculatum,,,
Amedegnatiana vicheti,,,
Ameerega berohoka,,,
Ameerega braccata,,,
Ameerega flavopicta,,,
Ameerega hahneli,,,
Ameerega macero,,,
Ameerega munduruku,,,
Ameerega petersi,,,
Ameerega picta,,,
Ameerega pulchripecta,,,
Ameerega trivittata,,,
Amegilla asserta,,,
Amegilla calva,,,
Amegilla garrula,,,
Ameiurus melas,,,
Amietia delalandii,,,
Amietia fuscigula,,,
Amietia poyntoni,,,
Amietia tenuoplicata,,,
Amietia wittei,,,
Amirafra angolensis,anglar1,Angola Lark,
Amirafra collaris,collar1,Collared Lark,
Amirafra rufocinnamomea,flalar1,Flappet Lark,
Ammodramus aurifrons,yebspa1,Yellow-browed Sparrow,
Ammodramus humeralis,graspa1,Grassland Sparrow,
Ammodramus savannarum,graspa,Grasshopper Sparrow,GRSP
Ammomanes cinctura,batlar1,Bar-tailed Lark,
Ammomanes deserti,deslar1,Desert Lark,
Ammomanes phoenicura,rutlar2,Rufous-tailed Lark,
Ammomanopsis grayi,gralar2,Gray's Lark,
Ammonastes pelzelni,gybant1,Grey-bellied Antbird,
Ammoperdix griseogularis,sespar1,See-see Partridge,
Ammoperdix heyi,sanpar1,Sand Partridge,
Ammospermophilus harrisii,,,
Ammospermophilus interpres,,,
Ammospiza caudacuta,sstspa,Saltmarsh Sparrow,SALS
Ammospiza leconteii,lecspa,LeConte's Sparrow,LCSP
Ammospiza maritima,seaspa,Seaside Sparrow,SESP
Ammospiza nelsoni,nstspa,Nelson's Sparrow,NESP
Ammotragus lervia,,,
Amolops torrentis,,,
Ampeliceps coronatus,gocmyn1,Golden-crested Myna,
Ampelioides tschudii,scafru1,Scaled Fruiteater,
Ampelion rubrocristatus,reccot1,Red-crested Cotinga,
Ampelion rufaxilla,chccot1,Chestnut-crested Cotinga,
Ampelornis griseiceps,gyhant1,Grey-headed Antbird,
Amphiestris baetica,,,
Amphipsalta cingulata,,,
Amphipsalta strepitans,,,
Amphipsalta zelandica,,,
Amphispiza bilineata,bktspa,Black-throated Sparrow,BTSP
Amphispizopsis quinquestriata,fisspa,Five-striped Sparrow,FSSP
Amphitornus coloradus,,,
Amphylaeus obscuriceps,,,
Ampulex compressa,,,
Amytornis ballarae,kalgra1,Kalkadoon Grasswren,
Amytornis barbatus,grygra1,Grey Grasswren,
Amytornis dorotheae,cargra2,Carpentarian Grasswren,
Amytornis goyderi,eyrgra1,Eyrean Grasswren,
Amytornis housei,blagra1,Black Grasswren,
Amytornis merrotsyi,shtgra1,Short-tailed Grasswren,
Amytornis modestus,thbgra4,Thick-billed Grasswren,
Amytornis oweni,sangra1,Sandhill Grasswren,
Amytornis purnelli,dusgra1,Dusky Grasswren,
Amytornis rowleyi,rusgra1,Opalton Grasswren,
Amytornis striatus,strgra2,Striated Grasswren,
Amytornis textilis,thbgra1,Western Grasswren,
